Year,Anomaly
1851,-0.15
1852,-0.05
1853,-0.03
1854,-0.09
1855,-0.02
1856,-0.03
1857,-0.15
1858,-0.17
1859,-0.16
1860,-0.03
1861,-0.25
1862,-0.25
1863,-0.31
1864,-0.21
1865,-0.15
1866,-0.09
1867,-0.11
1868,-0.2
1869,-0.1
1870,-0.08
1871,-0.18
1872,-0.15
1873,-0.19
1874,-0.2
1875,-0.22
1876,-0.23
1877,-0.23
1878,0.14
1879,0.11
1880,-0.16
1881,-0.16
1882,-0.08
1883,-0.18
1884,-0.19
1885,-0.31
1886,-0.27
1887,-0.3
1888,-0.29
1889,-0.08
1890,-0.07
1891,-0.32
1892,-0.21
1893,-0.28
1894,-0.32
1895,-0.3
1896,-0.19
1897,-0.1
1898,-0.1
1899,-0.26
1900,-0.15
1901,-0.05
1902,-0.1
1903,-0.22
1904,-0.39
1905,-0.4
1906,-0.25
1907,-0.16
1908,-0.36
1909,-0.43
1910,-0.4
1911,-0.39
1912,-0.38
1913,-0.34
1914,-0.29
1915,-0.15
1916,-0.09
1917,-0.34
1918,-0.43
1919,-0.27
1920,-0.24
1921,-0.23
1922,-0.18
1923,-0.25
1924,-0.24
1925,-0.25
1926,-0.16
1927,-0.11
1928,-0.16
1929,-0.18
1930,-0.32
1931,-0.09
1932,-0.04
1933,-0.15
1934,-0.25
1935,-0.11
1936,-0.15
1937,-0.09
1938,0
1939,0
1940,0.03
1941,0.15
1942,0.24
1943,0.06
1944,0.1
1945,0.23
1946,0.15
1947,-0.05
1948,0
1949,-0.06
1950,-0.09
1951,-0.14
1952,0.01
1953,0.04
1954,0.08
1955,-0.07
1956,-0.14
1957,-0.16
1958,0.09
1959,0.07
1960,0.07
1961,0.01
1962,0.07
1963,0.05
1964,0.07
1965,-0.17
1966,-0.08
1967,-0.02
1968,0
1969,-0.04
1970,0.12
1971,0.04
1972,-0.07
1973,0.1
1974,0.17
1975,-0.04
1976,0.01
1977,-0.03
1978,0.2
1979,0.11
1980,0.22
1981,0.32
1982,0.32
1983,0.21
1984,0.33
1985,0.19
1986,0.16
1987,0.23
1988,0.36
1989,0.37
1990,0.31
1991,0.45
1992,0.42
1993,0.23
1994,0.26
1995,0.35
1996,0.46
1997,0.35
1998,0.52
1999,0.62
2000,0.4
2001,0.42
2002,0.57
2003,0.62
2004,0.62
2005,0.57
2006,0.68
2007,0.68
2008,0.59
2009,0.58
2010,0.68
2011,0.72
2012,0.61
2013,0.67
2014,0.69
2015,0.76
2016,0.95
2017,1.02
2018,0.92
2019,0.88
2020,1.01
2021,0.99
2022,0.88
2023,0.9
2024,1.22
2025,1.29
